ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,49,91107,4,1.6,1,0,0,1,0,0,0
2,45,19,34,90089,3,1.5,1,0,0,1,0,0,0
3,39,15,11,94720,1,1,1,0,0,0,0,0,0
4,35,9,100,94112,1,2.7,2,0,0,0,0,0,0
5,35,8,45,91330,4,1,2,0,0,0,0,0,1
6,37,13,29,92121,4,0.4,2,155,0,0,0,1,0
7,53,27,72,91711,2,1.5,2,0,0,0,0,1,0
8,50,24,22,93943,1,0.3,3,0,0,0,0,0,1
9,35,10,81,90089,3,0.6,2,104,0,0,0,1,0
10,34,9,180,93023,1,8.9,3,0,1,0,0,0,0
11,65,39,105,94710,4,2.4,3,0,0,0,0,0,0
12,29,5,45,90277,3,0.1,2,0,0,0,0,1,0
13,48,23,114,93106,2,3.8,3,0,0,1,0,0,0
14,59,32,40,94920,4,2.5,2,0,0,0,0,1,0
15,67,41,112,91741,1,2,1,0,0,1,0,0,0
16,60,30,22,95054,1,1.5,3,0,0,0,0,1,1
17,38,14,130,95010,4,4.7,3,134,1,0,0,0,0
18,42,18,81,94305,4,2.4,1,0,0,0,0,0,0
19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0
20,55,28,21,94720,1,0.5,2,0,0,1,0,0,1
21,56,31,25,94015,4,0.9,2,111,0,0,0,1,0
22,57,27,63,90095,3,2,3,0,0,0,0,1,0
23,29,5,62,90277,1,1.2,1,260,0,0,0,1,0
24,44,18,43,91320,2,0.7,1,163,0,1,0,0,0
25,36,11,152,95521,2,3.9,1,159,0,0,0,0,1
26,43,19,29,94305,3,0.5,1,97,0,0,0,1,0
27,40,16,83,95064,4,0.2,3,0,0,0,0,0,0
28,46,20,158,90064,1,2.4,1,0,0,0,0,1,1
29,56,30,48,94539,1,2.2,3,0,0,0,0,1,1
30,38,13,119,94104,1,3.3,2,0,1,0,1,1,1
31,59,35,35,93106,1,1.2,3,122,0,0,0,1,0
32,40,16,29,94117,1,2,2,0,0,0,0,1,0
33,53,28,41,94801,2,0.6,3,193,0,0,0,0,0
34,30,6,18,91330,3,0.9,3,0,0,0,0,0,0
35,31,5,50,94035,4,1.8,3,0,0,0,0,1,0
36,48,24,81,92647,3,0.7,1,0,0,0,0,0,0
37,59,35,121,94720,1,2.9,1,0,0,0,0,0,1
38,51,25,71,95814,1,1.4,3,198,0,0,0,0,0
39,42,18,141,94114,3,5,3,0,1,1,1,1,0
40,38,13,80,94115,4,0.7,3,285,0,0,0,1,0
41,57,32,84,92672,3,1.6,3,0,0,1,0,0,0
42,34,9,60,94122,3,2.3,1,0,0,0,0,0,0
43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0
44,39,15,45,95616,1,0.7,1,0,0,0,0,1,0
45,46,20,104,94065,1,5.7,1,0,0,0,0,1,1
46,57,31,52,94720,4,2.5,1,0,0,0,0,0,1
47,39,14,43,95014,3,0.7,2,153,0,0,0,1,0
48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
49,56,26,81,95747,2,4.5,3,0,0,0,0,0,1
50,40,16,49,92373,1,1.8,1,0,0,0,0,0,1
51,32,8,8,92093,4,0.7,2,0,0,1,0,1,0
52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0
53,30,6,72,94005,1,0.1,1,207,0,0,0,0,0
54,50,26,190,90245,3,2.1,3,240,1,0,0,1,0
55,29,5,44,95819,1,0.2,3,0,0,0,0,1,0
56,41,17,139,94022,2,8,1,0,0,0,0,1,0
57,55,30,29,94005,3,0.1,2,0,0,1,1,1,0
58,56,31,131,95616,2,1.2,3,0,1,0,0,0,0
59,28,2,93,94065,2,0.2,1,0,0,0,0,0,0
60,31,5,188,91320,2,4.5,1,455,0,0,0,0,0
61,49,24,39,90404,3,1.7,2,0,0,1,0,1,0
62,47,21,125,93407,1,5.7,1,112,0,1,0,0,0
63,42,18,22,90089,1,1,1,0,0,0,0,0,0
64,42,17,32,94523,4,0,2,0,0,0,0,1,0
65,47,23,105,90024,2,3.3,1,0,0,0,0,0,0
66,59,35,131,91360,1,3.8,1,0,0,0,0,1,1
67,62,36,105,95670,2,2.8,1,336,0,0,0,0,0
68,53,23,45,95123,4,2,3,132,0,1,0,0,0
69,47,21,60,93407,3,2.1,1,0,0,0,0,1,1
70,53,29,20,90045,4,0.2,1,0,0,0,0,1,0
71,42,18,115,91335,1,3.5,1,0,0,0,0,0,1
72,53,29,69,93907,4,1,2,0,0,0,0,1,0
73,44,20,130,92007,1,5,1,0,0,0,0,0,1
74,41,16,85,94606,1,4,3,0,0,0,0,1,1
75,28,3,135,94611,2,3.3,1,0,0,0,0,0,1
76,31,7,135,94901,4,3.8,2,0,1,0,1,1,1
77,58,32,12,91320,3,0.3,3,0,0,0,0,0,0
78,46,20,29,92220,3,0.5,2,0,0,0,0,0,0
79,54,30,133,93305,2,2.6,3,0,1,0,0,0,0
80,50,26,19,94720,2,0.4,1,118,0,0,0,1,0
81,60,36,41,95134,4,1.3,1,174,0,0,0,1,1
82,47,22,40,94612,3,2.7,2,0,0,0,0,1,0
83,41,16,82,92507,1,4,3,0,0,0,0,1,0
84,33,9,50,94305,1,2.4,2,0,0,0,0,0,0
85,46,22,18,91730,1,0.9,3,0,0,0,0,1,0
86,27,2,109,94005,4,1.8,3,0,0,0,0,0,0
87,40,16,42,94501,4,2.2,2,126,0,0,0,0,0
88,48,22,78,94305,3,1.1,1,0,0,0,0,1,0
89,65,41,51,94117,2,1.1,1,0,0,0,0,1,0
90,25,-1,113,94303,4,2.3,3,0,0,0,0,0,1
91,55,30,118,90277,4,5.6,2,0,1,0,0,1,0
92,35,10,29,94105,4,1.1,3,0,0,0,0,1,0
93,43,19,34,94305,3,0.6,2,0,0,0,0,0,0
94,60,34,64,94550,2,1.7,3,236,0,1,0,1,0
95,65,39,121,92612,1,2,1,0,0,0,0,0,0
96,38,12,48,95617,4,0.2,3,0,0,0,0,1,0
97,41,15,80,95014,1,5.2,1,0,0,0,0,0,0
98,54,28,161,92121,1,2.9,1,0,0,0,0,1,0
99,49,23,94,92374,1,0.3,1,0,0,0,0,1,0
100,66,41,15,91711,3,0.1,3,0,0,0,0,1,0
101,48,23,74,94080,1,1.2,1,0,0,0,0,1,0
102,61,36,30,94608,3,1.3,2,0,0,0,0,0,0
103,53,23,44,93555,3,1,3,198,0,0,0,1,1
104,43,18,22,95670,2,0.3,2,0,0,0,0,1,0
105,56,32,38,93311,4,1.3,1,166,0,0,0,1,1
106,24,0,35,94704,3,0.1,2,0,0,1,0,1,0
107,43,17,69,92717,4,2.9,1,0,0,0,0,1,1
108,42,18,43,92037,1,0.7,1,136,0,0,0,0,0
109,33,7,32,95136,1,0.6,3,166,0,0,0,1,0
110,43,17,49,94542,1,2.8,1,0,0,0,0,1,0
111,41,14,9,91330,3,1,2,0,0,0,0,0,0
112,62,38,45,94143,4,1.3,2,0,0,0,0,1,0
113,40,15,82,91775,3,1,1,309,0,0,0,0,0
114,58,34,92,92703,2,2.8,1,103,0,0,0,0,0
115,39,14,39,92354,3,0.5,3,0,0,0,0,1,0
116,65,40,81,92024,3,1.8,2,0,0,0,0,1,0
117,54,29,35,92831,1,1.5,2,0,0,0,0,1,0
118,58,33,61,92833,2,2.3,3,193,0,0,0,1,0
119,41,16,73,92647,3,3,1,0,0,0,0,1,0
120,32,7,112,94304,1,4.6,1,366,0,0,0,0,0
121,54,29,12,90057,2,0.2,3,0,0,0,0,1,0
122,52,26,38,91711,3,0.9,3,0,0,0,0,1,0
123,58,32,73,94523,2,0.7,2,0,0,0,0,1,1
124,37,13,84,92130,1,3.6,2,0,0,1,0,0,0
125,39,15,78,92121,4,2.4,1,118,0,0,0,1,0
126,60,35,80,91301,3,0.5,1,0,0,0,0,1,0
127,31,5,115,92096,2,1.3,1,101,0,0,0,1,1
128,34,8,82,92646,1,2.7,2,251,0,0,0,1,0
129,38,14,74,92182,2,0,1,0,0,1,0,1,0
130,41,16,70,92131,3,0.5,3,0,0,0,0,0,1
131,28,4,81,94801,3,1.5,1,276,0,0,0,1,0
132,58,34,149,93720,4,7.2,2,0,1,0,1,1,1
133,31,1,51,90840,2,1.75,3,0,0,0,0,0,0
134,30,4,39,90245,3,1.1,2,0,0,0,0,1,0
135,53,29,98,95035,3,1.8,2,0,0,0,0,0,0
136,58,33,45,93010,4,2.1,1,0,0,0,0,1,1
137,59,32,49,95035,4,2.5,2,0,0,0,0,1,0
138,49,25,128,95054,2,0.4,1,0,0,0,0,0,0
139,59,34,42,94928,3,1.5,1,0,0,1,1,0,1
140,59,35,18,93305,1,1.2,3,0,0,0,0,1,0
141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1
142,35,11,58,95831,3,2,1,149,0,0,0,1,1
143,33,9,48,91770,1,2.1,3,0,0,0,0,0,1
144,25,1,54,94117,4,1.6,1,0,0,0,0,1,1
145,49,23,70,92093,2,1.5,2,0,0,0,0,0,0
146,59,35,124,90007,1,7.4,1,0,0,0,0,0,1
147,46,19,84,94102,1,2.67,2,0,0,0,0,1,1
148,50,25,83,94542,4,3.6,3,188,0,0,0,1,0
149,52,28,163,91423,2,0.4,1,116,0,0,0,1,0
150,48,22,42,93955,3,2.2,2,0,0,0,0,0,0
151,46,22,118,94107,2,7.5,1,0,0,0,1,1,1
152,26,0,132,92834,3,6.5,3,0,1,0,0,0,1
153,57,32,24,93117,1,1.3,1,0,0,0,0,1,1
154,60,36,22,94551,2,1,1,0,0,1,1,1,1
155,54,29,58,92612,4,1.3,3,0,0,0,0,0,0
156,24,0,60,94596,4,1.6,1,0,0,0,0,1,0
157,26,0,15,92131,4,0.4,1,0,0,0,0,0,1
158,41,17,83,94025,4,2.67,1,0,0,0,0,1,1
159,32,6,79,94720,2,1.5,3,0,0,0,0,1,1
160,61,35,41,94545,4,1.7,2,0,0,1,0,1,0
161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0
162,61,35,80,95053,2,2.8,1,0,0,0,0,1,0
163,38,12,52,90036,1,2,1,0,0,0,0,0,0
164,28,4,70,91125,4,2.6,1,0,0,0,0,1,0
165,53,27,92,95120,2,1.1,1,0,0,1,0,0,0
166,27,1,43,94706,1,1.5,1,0,0,0,0,1,0
167,25,1,21,95827,3,1,2,0,0,0,0,0,0
168,33,9,23,94305,3,0.9,3,0,0,0,0,1,1
169,50,26,13,91320,4,1,1,0,0,0,0,1,0
170,27,1,112,90503,4,2.1,3,0,0,0,0,0,1
171,27,1,138,90250,2,2,1,0,0,0,0,1,0
172,52,28,11,95817,3,0.4,1,0,0,1,0,0,0
173,38,13,171,92717,2,7.8,1,0,0,0,0,1,0
174,58,34,42,90095,4,1.5,1,0,0,0,0,1,1
175,42,17,168,95503,2,7.9,2,0,1,0,0,1,0
176,45,20,85,91711,4,1.1,2,0,0,1,0,1,0
177,52,25,44,93111,3,1,2,135,0,0,0,1,0
178,29,3,65,94132,4,1.8,2,244,0,0,0,0,0
179,53,29,24,95818,4,0.2,1,0,0,0,0,1,1
180,62,37,11,91942,1,0.1,1,0,0,0,0,1,0
181,51,27,38,90401,2,1,3,164,0,0,0,1,0
182,36,12,10,93524,4,0.7,2,81,0,0,0,0,0
183,24,0,135,95133,1,1.5,1,0,0,0,0,1,0
184,29,3,148,92173,3,4.1,1,0,1,0,0,1,0
185,52,26,63,92717,2,1.5,2,0,0,1,0,1,0
186,39,14,115,91320,1,1,3,0,0,0,0,1,0
187,48,23,45,95616,1,0.3,1,0,0,0,0,1,1
188,46,21,159,94305,3,1.9,3,315,1,0,0,1,0
189,64,40,169,91320,2,2.1,1,122,0,0,0,1,0
190,55,29,112,94043,2,1.4,1,0,0,0,0,1,0
191,60,36,93,92521,1,4.3,1,0,0,0,0,1,0
192,51,25,29,90404,1,0.3,3,140,0,0,0,0,0
193,50,23,85,92122,1,2.67,2,0,0,0,0,1,0
194,48,24,21,93118,4,0.6,1,0,0,0,0,1,1
195,53,29,144,92697,2,6.8,1,0,0,0,0,1,0
196,34,10,13,94577,4,1,1,95,0,1,0,1,0
197,48,24,165,93407,1,5,1,0,0,0,0,0,1
198,55,31,9,91345,4,0.7,1,89,0,0,0,1,0
199,27,3,59,94123,4,0,1,90,0,1,0,1,0
200,36,11,158,92152,1,5.1,3,0,1,0,1,1,1
201,32,6,29,91355,1,1.9,3,0,0,0,0,1,1
202,35,9,20,94609,2,1.4,3,0,0,0,0,1,1
203,30,3,68,94306,4,2,2,0,0,0,0,1,0
204,58,34,65,95747,4,2.2,1,0,0,0,0,1,0
205,56,31,61,96150,2,1.9,2,105,0,0,0,0,0
206,38,12,91,95616,4,1.4,2,100,0,0,0,0,1
207,49,25,31,91355,1,1,1,0,0,1,0,1,0
208,34,10,71,94115,4,0.1,2,0,0,0,0,0,0
209,40,16,73,94110,4,2.67,1,0,0,0,0,1,1
210,64,39,172,94707,4,3.1,1,282,1,0,1,1,1
211,51,26,20,92131,2,0,1,0,0,0,0,0,0
212,44,18,55,94720,1,0.2,1,0,0,0,0,0,0
213,46,22,69,91604,2,1.7,1,209,0,0,0,0,0
214,57,33,155,91326,1,7.4,1,0,0,0,0,1,0
215,54,28,94,90291,1,1.9,2,0,0,0,0,0,0
216,38,14,92,95818,2,0,1,249,0,0,0,1,1
217,27,3,125,95521,2,0.6,1,0,0,0,0,0,0
218,39,14,74,94305,3,3,1,0,0,0,0,0,0
219,44,20,72,92807,3,0.3,3,0,0,0,0,1,0
220,56,30,61,94707,1,2.2,3,0,0,0,0,1,1
221,32,6,25,92130,2,0.3,1,0,0,0,0,0,1
222,45,19,83,95051,2,1.7,2,0,0,0,0,1,0
223,26,2,104,94306,3,2.5,1,0,0,0,0,0,0
224,55,25,41,95014,3,1,3,0,0,0,0,1,0
225,52,27,58,94305,4,1.8,3,91,0,0,0,0,0
226,39,13,93,94720,1,1.5,3,0,0,0,0,0,1
227,24,-1,39,94085,2,1.7,2,0,0,0,0,0,0
228,47,23,148,94551,2,7.5,1,0,0,0,1,1,1
229,47,22,53,92677,4,1.9,3,98,0,1,1,0,1
230,48,24,71,93117,2,1.7,1,145,0,0,0,0,1
231,47,22,92,94720,1,2.8,2,0,0,0,0,1,0
232,35,10,61,94304,4,2.1,3,0,0,0,0,1,0
233,46,19,38,94122,3,2.5,2,135,0,0,0,0,0
234,62,37,58,91320,4,1.7,1,0,0,0,0,1,0
235,26,1,80,95616,1,0.8,2,150,0,0,0,0,0
236,38,8,71,94720,4,1.8,3,0,0,0,0,1,0
237,43,18,89,93407,3,0.5,3,0,0,0,0,1,1
238,62,38,83,92521,1,1.8,3,0,0,0,0,1,0
239,57,32,28,95831,3,0.2,1,0,0,0,0,1,1
240,28,3,52,94112,4,1.7,2,0,0,0,0,0,0
241,51,26,70,90089,1,1.2,1,169,0,0,0,0,0
242,48,22,71,91711,1,1.4,3,0,0,0,0,0,1
243,41,16,75,94005,1,3.7,3,280,0,0,0,0,0
244,65,39,170,90095,3,7.9,3,99,1,0,1,1,0
245,41,17,78,94025,4,0.8,1,78,0,0,0,1,0
246,35,11,25,92614,2,1,2,0,0,0,0,0,0
247,38,14,60,94025,2,0.6,3,0,0,0,0,1,1
248,53,29,120,92626,4,2.7,2,111,1,1,1,1,0
249,55,29,99,92121,2,1.4,1,264,0,0,0,1,1
250,26,1,55,90089,3,2.6,3,113,0,0,0,0,1
251,30,6,29,94305,3,1,2,117,0,0,0,0,0
252,54,28,170,92182,2,6.2,2,325,1,0,0,1,0
253,65,40,53,91711,3,2.2,1,0,0,0,0,0,1
254,47,21,138,94583,1,0,1,0,0,0,0,0,0
255,65,41,134,91942,3,3.9,3,121,1,0,0,1,0
256,66,40,42,92103,2,0.7,3,138,0,0,0,0,1
257,26,0,99,92697,4,2.3,3,0,0,0,0,0,1
258,66,41,18,92691,3,0.5,1,0,0,0,0,0,1
259,35,9,24,95747,4,0.3,1,0,0,0,0,1,0
260,56,30,55,94107,1,1.4,1,77,0,0,0,1,0
261,51,27,58,92407,1,0,1,0,0,0,0,0,1
262,42,16,111,93106,2,1.2,3,251,1,0,0,1,0
263,49,23,33,90245,1,0.3,3,0,0,0,1,1,1
264,27,1,74,92121,4,1.8,2,112,0,0,0,1,1
265,45,19,38,90840,2,0.7,1,0,0,0,0,0,0
266,49,23,23,94305,4,0.6,3,98,0,1,0,0,0
267,63,38,61,94720,2,1.5,1,0,0,0,0,1,0
268,47,22,81,90504,1,2.9,1,138,0,0,0,0,0
269,64,39,129,94002,1,2.5,1,0,0,0,0,1,0
270,43,13,33,95039,1,0.75,3,0,0,0,0,0,0
271,60,36,63,94063,4,2.2,1,0,0,0,0,1,0
272,40,14,70,94923,4,1.4,2,0,0,0,0,1,0
273,29,3,45,95023,4,0.2,1,158,0,0,0,1,1
274,41,16,65,90095,3,0.5,3,0,0,0,0,1,0
275,30,5,74,95616,4,2.2,1,0,0,1,0,0,1
276,49,24,50,94706,4,1.8,3,0,0,1,0,0,0
277,30,5,22,90058,4,0.5,3,109,0,0,0,1,0
278,29,2,30,92126,4,1,3,0,0,0,0,0,0
279,50,26,21,91125,4,1,1,0,0,0,0,1,0
280,39,14,155,94577,2,3.9,1,0,0,0,0,1,0
281,33,8,64,92121,4,2.1,3,164,0,0,0,1,0
282,57,31,65,94118,4,2.6,3,0,0,0,0,0,1
283,34,9,71,91711,4,0.7,3,0,0,0,0,1,0
284,61,36,40,90029,3,0.5,2,0,0,1,0,1,0
285,44,19,69,92806,3,0.5,3,0,0,0,0,1,0
286,40,13,69,94305,3,2.33,2,0,0,0,0,0,0
287,51,25,45,94806,3,0.6,2,131,0,0,0,1,0
288,37,12,62,92110,3,0.7,2,0,0,0,0,0,1
289,44,19,172,94306,2,4.3,3,391,1,1,1,1,0
290,42,15,24,92121,3,1,2,0,0,0,0,1,1
291,51,25,80,92373,1,4.9,1,0,0,0,0,0,0
292,43,16,8,90089,3,0.67,2,88,0,0,0,1,0
293,30,5,38,94542,4,0.8,1,129,0,0,0,1,1
294,45,19,93,90095,4,2.6,3,0,0,0,0,0,0
295,35,9,55,94536,1,2,1,0,0,0,0,1,0
296,60,34,64,94304,2,1.7,3,0,0,0,0,0,1
297,34,9,122,90623,1,0,1,0,0,0,0,1,0
298,55,25,70,93720,3,1.4,3,0,0,0,0,1,0
299,43,19,81,92069,2,3.2,1,0,0,0,0,0,0
300,41,15,159,90057,1,5.5,3,0,1,0,1,1,0
301,34,9,70,92843,4,1.3,1,0,0,1,0,0,0
302,65,39,150,92120,2,6.9,1,196,0,0,0,0,0
303,45,21,152,94550,2,7.5,1,0,0,0,0,1,0
304,49,25,195,95605,4,3,1,617,1,0,0,0,0
305,48,23,22,90740,1,0.1,1,0,0,0,0,0,0
306,60,35,22,91207,1,1.3,1,123,0,0,0,1,0
307,55,29,79,92373,3,0.8,1,0,0,0,0,1,1
308,42,18,33,90401,1,1.4,3,0,0,0,0,1,0
309,32,8,128,94720,2,4.33,1,0,0,0,1,1,1
310,62,38,91,95929,1,3.8,1,0,0,1,0,1,0
311,57,32,39,90277,4,0.9,1,0,0,0,0,1,1
312,52,26,121,94550,1,7.3,1,167,0,0,0,1,0
313,36,6,21,91741,1,0.67,3,0,0,1,0,1,0
314,34,9,41,93720,3,2.3,1,0,0,0,0,0,1
315,63,37,45,93437,2,0.7,3,0,0,0,0,1,0
316,24,-2,51,90630,3,0.3,3,0,0,0,0,1,0
317,57,31,165,95054,1,1.6,2,0,1,0,0,1,0
318,40,16,119,91335,2,4.2,2,0,1,0,0,1,0
319,27,2,110,95670,4,1.8,3,190,0,0,0,1,0
320,65,39,20,90034,3,0.7,2,0,0,0,0,0,1
321,60,34,64,90266,1,0.8,2,248,0,0,0,0,0
322,44,20,101,92717,3,4.4,2,82,1,0,0,0,0
323,63,39,101,92007,1,3.9,1,0,1,1,1,1,0
324,59,34,99,90034,1,4.4,1,0,1,0,0,0,0
325,56,30,158,90089,4,6.1,1,0,1,0,0,0,0
326,54,28,89,95039,1,1.9,2,0,0,0,0,1,1
327,52,27,80,95616,1,1.3,3,0,0,0,1,1,1
328,58,32,114,91330,2,2,1,402,0,0,0,1,0
329,60,35,49,94110,3,0.5,2,0,0,0,0,1,1
330,28,4,191,90064,1,6.33,1,0,0,0,0,1,0
331,54,30,78,92374,4,1,2,0,0,0,0,1,0
332,32,6,28,94115,3,1,1,0,0,0,0,0,0
333,59,33,42,95630,1,0.8,2,0,0,0,0,1,0
334,63,38,140,92407,1,2.5,1,0,0,0,0,0,0
335,48,23,45,95053,1,1.3,2,0,0,0,0,1,0
336,56,32,122,95827,2,0.3,1,360,0,0,1,1,1
337,36,12,65,95051,3,2.6,2,0,0,0,0,1,0
338,57,27,68,94117,1,1.4,3,0,0,0,0,1,0
339,29,3,153,93657,2,2,1,392,0,0,0,0,0
340,39,13,89,92110,4,1.4,2,0,0,0,0,0,0
341,59,34,91,93524,1,2.6,1,0,0,0,0,1,1
342,31,6,55,92038,4,2,2,185,0,0,0,1,0
343,43,19,118,91304,2,3.3,1,0,0,0,0,0,1
344,35,5,22,93407,1,0.67,3,103,0,0,0,0,0
345,54,24,63,92606,3,1.4,3,138,0,0,0,1,1
346,51,27,12,92192,4,0.5,2,78,0,1,0,1,0
347,44,19,50,90745,3,2.7,2,0,0,0,0,1,0
348,25,0,43,94305,2,1.6,3,0,0,1,1,1,1
349,40,15,173,95060,4,6.6,1,0,1,0,1,1,1
350,26,2,60,93407,2,3,1,132,1,0,0,0,0
351,39,14,113,94301,1,1,3,0,0,1,0,1,0
352,28,4,155,92182,4,5.3,2,0,1,0,0,1,0
353,52,28,91,92692,4,1,2,0,0,0,0,0,1
354,53,29,55,95818,4,1.1,2,0,0,0,0,1,0
355,44,20,173,90277,2,1.4,1,419,0,0,0,1,0
356,43,19,71,92101,3,0.3,3,0,0,0,0,0,1
357,56,30,24,94704,2,0.4,3,88,0,0,0,0,0
358,38,14,42,94610,1,2,2,81,0,0,0,1,0
359,30,6,141,94539,2,4.33,1,0,0,0,0,1,0
360,32,6,32,93106,1,1.9,3,0,0,0,0,1,0
361,35,10,55,94539,4,1.3,1,0,0,0,0,0,0
362,43,19,153,90254,2,7.5,1,0,0,0,0,1,0
363,58,32,113,94590,2,1.4,1,270,0,0,0,0,1
364,25,0,30,92691,2,1.7,2,0,0,0,0,0,0
365,54,24,29,92028,3,1,3,148,0,0,0,0,1
366,57,32,174,90089,1,6.8,2,466,1,0,0,1,0
367,50,24,35,92717,1,0.3,3,0,0,0,0,1,0
368,32,8,98,95054,2,2,2,175,0,0,0,1,0
369,63,37,30,92054,2,1,3,159,0,0,0,1,0
370,31,6,58,95051,2,2.5,1,0,0,0,0,0,1
371,36,12,25,92101,4,1,1,147,0,0,0,0,0
372,58,34,19,92029,4,0.7,1,0,0,0,0,0,0
373,56,30,44,93105,4,0.7,2,174,0,0,0,1,0
374,49,25,20,90291,4,1,1,111,0,0,0,1,1
375,30,5,98,91941,2,3.1,1,220,0,0,0,1,0
376,33,7,90,92346,3,1.6,1,0,0,0,0,1,0
377,45,21,61,94304,3,0.7,1,0,0,0,0,0,0
378,30,5,40,94402,4,2,2,0,0,0,0,1,0
379,47,23,38,94618,2,2.1,3,0,0,0,0,0,0
380,25,0,28,92093,2,1.7,2,0,0,0,0,0,0
381,63,33,34,94305,1,1.5,3,0,0,0,0,1,1
382,55,29,73,95616,2,2.3,3,0,0,0,0,1,1
383,65,41,133,94904,4,2,1,0,1,0,0,0,1
384,44,18,53,94608,1,0.2,1,0,0,0,0,1,0
385,51,25,21,9307,4,0.6,3,0,0,0,0,1,1
386,35,9,40,93943,3,0.9,1,0,0,0,0,1,0
387,30,5,41,95051,4,1.7,2,0,0,0,0,1,0
388,31,5,82,95482,4,1.8,2,0,0,0,0,1,0
389,54,30,100,95814,4,3.4,3,0,1,0,0,0,0
390,45,20,155,90024,1,7,1,0,0,0,0,1,1
391,45,19,45,92521,1,0.2,1,0,0,0,0,1,0
392,58,32,9,94080,3,0.3,3,0,0,0,0,0,1
393,54,29,48,91709,4,1.8,3,0,0,0,0,1,0
394,53,28,18,90095,4,0.1,3,109,0,1,1,1,1
395,33,9,80,91311,4,3.4,1,0,0,0,0,1,1
396,60,35,64,94509,2,2.8,1,0,0,0,0,0,0
397,50,24,29,93023,4,0.1,1,0,0,0,0,0,0
398,26,2,48,90503,3,0.7,2,0,0,0,0,1,0
399,54,30,23,94608,2,0.4,1,0,0,0,0,0,0
400,28,3,84,90024,4,0.2,1,0,0,0,0,1,1
401,36,10,179,94542,3,6.6,1,0,1,0,0,1,0
402,29,2,30,95747,4,1.5,2,112,0,0,0,0,1
403,54,28,93,91604,1,4.9,1,133,0,0,1,1,1
404,55,30,39,92647,2,1.9,2,0,0,0,0,0,0
405,61,36,60,92866,3,0.5,2,182,0,0,0,0,0
406,36,11,133,90245,1,3.8,1,290,0,1,1,1,1
407,45,19,125,92354,1,2.4,1,0,0,0,0,0,0
408,64,40,58,93437,1,1.8,3,0,0,0,0,1,0
409,60,36,89,91745,2,2.8,1,0,0,0,0,1,0
410,49,22,82,90019,1,2.67,2,125,0,0,0,1,0
411,47,23,110,94111,2,3.3,1,0,0,0,0,1,1
412,60,36,54,92182,4,2.3,3,0,0,1,0,0,0
413,45,20,89,93311,4,1.9,3,0,0,0,0,1,0
414,32,7,42,92407,3,2.3,1,0,0,0,0,1,0
415,52,28,41,94309,3,1.9,2,0,0,0,0,0,1
416,35,8,38,93106,4,1,2,124,0,0,0,1,0
417,40,15,85,94304,2,0.4,1,0,0,0,0,1,0
